display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,0ROY,Davide Campari Milano SpA,entry_ready,True,,setup+breakout,ENTRY_READY,7.7,,7.52482147225474,10.1205,416804.0,10.1205,3.87658446946558,10.0699,4.255,5.8149,21.6997,27.5145,,
2,ZUBN,Zueblin Immobilien Holding AG,entry_ready,True,,setup+breakout,ENTRY_READY,7.3,,10.6368409039032,51.0,2330.0,49.4,1.53335530641894,49.153,46.853,2.3,53.7531,56.0531,,
3,MLGAL,Galeo Concept SA,entry_ready,True,,setup+breakout,ENTRY_READY,6.7,,7.2189349112426,3.08,183.0,2.68,0.0380263559409774,2.6666,2.6096,0.057,2.7807,2.8377,,
4,ILKKA1,Ilkka Oyj 1,entry_ready,True,,setup+breakout,ENTRY_READY,6.62,,4.32061657032755,6.0,2803.0,5.95,0.150845683718772,5.9203,5.694,0.2263,6.3728,6.5991,,
5,FREY,Frey SA,entry_ready,True,,setup+breakout,ENTRY_READY,6.24,,4.53892606495838,33.4,2781.0,33.2,0.101245484147717,33.034,32.8821,0.1519,33.3377,33.4896,,
6,TGS,TGS NOPEC Geophysical Company ASA,entry_ready,True,,setup+breakout,ENTRY_READY,5.72,,2.4171411648554,137.8,1638496.0,133.0,5.0623088883443,132.335,124.7415,7.5935,147.5219,155.1154,,
7,CRAP,Caisse Régionale du Crédit Agricole Alpes Provence,entry_ready,True,,setup+breakout,ENTRY_READY,4.79,,3.09119907206032,142.0,1066.0,142.5,2.41072587164954,141.7875,138.1714,3.6161,149.0197,152.6358,,
8,CURN,CURATIS N AG,entry_ready,True,,setup+breakout,ENTRY_READY,4.69,,2.98835492865344,24.0,7288.0,23.9,1.14768276268666,23.7805,22.059,1.7215,27.2235,28.9451,,
9,CRTO,Caisse Reg Cred Agric Mut Tourain Poitou,entry_ready,True,,setup+breakout,ENTRY_READY,4.66,,2.35681222463889,130.9,2113.0,131.5,3.63005183997432,130.8425,125.3974,5.4451,141.7327,147.1777,,
10,CBSM,Soc Centrale Bois Scieries Manche SA,entry_ready,True,,setup+breakout,ENTRY_READY,4.26,,2.95791732761034,9.95,1585.0,9.65,0.234729808400347,9.6018,9.2497,0.3521,10.3059,10.658,,
11,M7U,Nynomic AG,entry_ready,True,,setup+breakout,ENTRY_READY,4.16,,3.45761570190086,23.8,170420.0,19.35,1.42850631682844,19.2533,17.1105,2.1428,23.5388,25.6815,,
12,ROBA,Robeco Sust Global Stars Eqs Fd – EUR E,entry_ready,True,,setup+breakout,ENTRY_READY,4.1,,2.39792234662758,85.25,11126.0,84.46,0.627120755492861,84.0377,83.097,0.9407,85.9191,86.8597,,
13,VIRI,Viridien,entry_ready,True,,setup+breakout,ENTRY_READY,3.81,,3.10823703073705,143.8,139606.0,139.5,7.69740173215601,138.8025,127.2564,11.5461,161.8947,173.4408,,
14,EFG,Eagle Football Group SA,entry_ready,True,,setup+breakout,ENTRY_READY,3.53,,2.23192273365911,1.98,12629.0,1.94,0.0645538365971807,1.9303,1.8335,0.0968,2.124,2.2208,,
15,PLSV,PARATUS ENERGY SERVICES LTD,candidate,False,2.0,setup,CANDIDATE,4.65,1.7485167383089,1.7485167383089,49.55,611254.0,50.3,1.54374116327284,,,,,,,
16,UTDI,United Internet AG NA,candidate,False,3.0,setup,CANDIDATE,4.1,1.79665250329406,1.79665250329406,28.5,478063.0,28.92,0.902588947216817,,,,,,,
17,ATS,AT & S Austria Technologie & Systemtechnik Aktiengesellschaf t,candidate,False,5.0,setup,CANDIDATE,2.33,1.62929943070185,1.62929943070185,89.0,291489.0,87.1,4.75717247918774,,,,,,,
